site,tree_spp,dir,r,larvae,leaves,x,y
A5,BO,NE,35,5,153,24.7487373415292,24.7487373415292
A5,BO,NE,40,0,172,28.2842712474619,28.2842712474619
A5,BO,W,5,10,113,-5,0
A5,BO,W,10,9,205,-10,0
A5,BO,W,15,0,185,-15,0
A5,BO,NNE,5,60,130,1.9,4.6
A5,BO,NNE,10,43,160,3.83,9.24
A5,BO,NNE,15,30,132,5.74,13.9
A5,BO,NNE,20,10,116,7.65,18.5
A5,BO,NNE,25,12,159,9.6,23.1
A5,BO,NNE,30,6,132,11.5,27.72
A5,BO,NNE,35,7,202,13.4,32.32
A5,BO,NNE,40,2,167,15.3,36.92
A5,BO,NNE,45,0,1,17.2,41.52
A5,BO,S,5,15,120,0,-5
A5,BO,S,10,22,149,0,-10
A5,BO,S,15,3,167,0,-15
A5,BO,S,20,9,181,0,-20
A5,BO,S,25,0,190,0,-25
A5,BO,SW,5,48,122,-3.53553390593274,-3.53553390593274
A5,BO,SW,10,7,155,-7.07106781186548,-7.07106781186548
A5,BO,SW,15,0,191,-10.6066017177982,-10.6066017177982
A5,BO,SE,5,46,145,3.53553390593274,-3.53553390593274
A5,BO,SE,10,17,131,7.07106781186548,-7.07106781186548
A5,BO,SE,15,11,147,10.6066017177982,-10.6066017177982
A5,BO,SE,20,10,196,14.142135623731,-14.142135623731
A5,BO,SE,25,7,153,17.6776695296637,-17.6776695296637
A5,BO,SE,30,4,212,21.2132034355964,-21.2132034355964
A5,BO,SE,35,1,171,24.7487373415292,-24.7487373415292
A5,BO,SE,40,0,1,28.2842712474619,-28.2842712474619
A5,BO,E,5,12,128,5,0
A5,BO,E,10,10,148,10,0
A5,BO,E,15,5,147,15,0
A5,BO,E,20,10,188,20,0
A5,BO,E,25,5,186,25,0
A5,BO,E,30,3,195,30,0
A5,BO,E,35,5,147,35,0
A5,BO,E,40,0,215,40,0
A5,BO,ENE,5,27,150,4.6,1.9
A5,BO,ENE,10,27,144,9.24,3.83
A5,BO,ENE,15,22,135,13.9,5.74
A5,BO,ENE,20,7,113,18.5,7.65
A5,BO,ENE,25,14,168,23.1,9.6
A5,BO,ENE,30,4,177,27.72,11.5
A5,BO,ENE,35,1,179,32.32,13.4
A5,BO,ENE,40,0,1,36.92,15.3
A5,WO,Cen,,24,123,0,-1.5
A5,WO,N,25,15,183,-1,25
A5,WO,NE,25,5,181,17.6776695296637,17.6776695296637
A5,WO,W,5,19,160,-5,-1
A5,WO,SE,20,12,282,14.142135623731,-15.142135623731
A5,WO,SE,30,3,218,21.2132034355964,-22.2132034355964
A5,WO,E,20,3,275,20,-1
A5,WO,E,35,0,1,35,-1
A4,BO,Center,0,15,88,0,0
A4,WO,Center,0,11,156,0,0
A4,BO,N,5,24,79,0,5
A4,BO,N,10,18,74,0,10
A4,BO,N,15,13,76,0,15
A4,BO,N,20,14,92,0,20
A4,BO,N,25,7,83,0,25
A4,BO,N,30,2,135,0,30
A4,BO,N,35,4,90,0,35
A4,BO,N,40,4,142,0,40
A4,WO,N ,40,1,182,0,40
A4,BO,N,45,0,1,0,45
A4,BO,NW,5,2,165,-3.5,3.5
A4,BO,NW,10,7,187,-7.07,7.07
A4,BO,NW,15,4,157,-10.6,10.6
A4,BO,NW,20,3,102,-14.14,14.14
A4,BO,NW,25,0,1,-17.7,17.7
A4,BO,NE,5,27,136,3.53553390593274,3.53553390593274
A4,BO,NE,10,31,124,7.07106781186548,7.07106781186548
A4,BO,NE,15,35,183,10.6066017177982,10.6066017177982
A4,BO,NE,20,5,115,14.142135623731,14.142135623731
A4,BO,NE,25,3,156,17.6776695296637,17.6776695296637
A4,BO,NE,30,8,132,21.2132034355964,21.2132034355964
A4,BO,NE,35,1,144,24.7487373415292,24.7487373415292
A4,BO,NE,40,2,135,28.2842712474619,28.2842712474619
A4,BO,NE,45,1,141,31.8198051533946,31.8198051533946
A4,BO,W,5,4,95,-5,0
A4,BO,W,10,1,145,-10,0
A4,BO,NNE,5,46,127,1.9,4.6
A4,BO,NNE,10,36,120,3.83,9.24
A4,BO,NNE,15,19,125,5.74,13.9
A4,BO,NNE,20,14,159,7.65,18.5
A4,BO,NNE,25,11,172,9.6,23.1
A4,BO,NNE,35,3,151,13.4,32.32
A4,BO,NNE,40,1,144,15.3,36.92
A4,BO,NNE,45,0,1,17.2,41.52
A4,BO,S,5,22,165,0,-5
A4,BO,S,10,9,158,0,-10
A4,BO,S,15,0,160,0,-10
A4,BO,SW,5,12,146,-3.53553390593274,-3.53553390593274
A4,WO,SW,5,4,117,-3.53553390593274,-3.53553390593274
A4,BO,SW,10,0,1,-7.07106781186548,-7.07106781186548
A4,BO,SE,5,19,160,3.53553390593274,-3.53553390593274
A4,BO,SE,10,15,114,7.07106781186548,-7.07106781186548
A4,WO,SE,10,5,150,7.07106781186548,-7.07106781186548
A4,BO,SE,25,2,97,17.6776695296637,-17.6776695296637
A4,BO,SE,30,2,85,21.2132034355964,-21.2132034355964
A4,WO,SE,30,2,150,21.2132034355964,-21.2132034355964
A4,BO,SE,35,4,153,24.7487373415292,-24.7487373415292
A4,BO,SE,40,0,118,28.2842712474619,-28.2842712474619
A4,WO,SE,40,0,1,28.2842712474619,-28.2842712474619
A4,BO,E,5,13,117,5,0
A4,BO,E,10,15,125,10,0
A4,WO,E,10,0,205,10,0
A4,BO,E,15,2,137,15,0
A4,BO,E,20,11,115,20,0
A4,BO,E,25,1,140,25,0
A4,BO,E,30,2,183,30,0
A4,BO,E,35,2,136,35,0
A4,BO,E,40,0,105,40,0
A4,BO,ENE,5,26,149,4.6,1.9
A4,BO,ENE,10,26,155,9.24,3.83
A4,BO,ENE,15,26,197,13.9,5.74
A4,BO,ENE,20,14,90,18.5,7.65
A4,BO,ENE,25,7,193,23.1,9.6
A4,BO,ENE,30,10,152,27.72,11.5
